type,org,module,version,build,name,part,revision
artifact,HWTE.EEIT.Atlas2Plugins,SMTDataChannel,0.0.2,22900,,,
artifact,HWTE.EEIT.Atlas2Plugins,MassTransitRouter,1.9,22188,,,
artifact,HWTE.EEIT.Atlas2Plugins,MutexPlugin,1.0.3,21735,,,
artifact,HWTE.EEIT.Atlas2Plugins,MDParser,1.1.1,24466,,,
artifact,HWTE.EEIT.Atlas2Plugins,InteractiveView,1.0.8,20975,,,
artifact,HWTE.EEIT.Atlas2Plugins,StatusCollectionU,1.0.1,21197,,,
artifact,HWTE.EEIT.SOC,SOCParser,1.0.7,22511,,,
artifact,HWTE.EEIT.Atlas2Plugins,RunTest,1.0.7,33336,,,
artifact,HWTE.EEIT.Atlas2Plugins,USBMonitor,1.0.2,21199,,,
artifact,HWTE.MIX,RPCClient,2.1.5,19899,,,
artifact,HWTE.MIX,DataPathMadagascar,1.0.0-Framework,22222,,,
artifact,HWTE.EEIT.IPADSMT,IPadDFUCommonOverlay,0.0.19,35316,,,
artifact,HWTE.SWPlatform,Atlas2,2.31.4.4,20723,,,
artifact,HWTE.Common.Serialization,PListSerializationPlugin,1.0.4,20728,,,
artifact,HWTE.Common.Serialization,CSVSerializationPlugin,1.0.5,20767,,,
artifact,HWTE.SWPlatform.MatchboxUtils,RegexPlugin,0.0.7,20768,,,
artifact,HWTE.EEIT.Atlas2Plugins,RunShellCommand,1.1.2,20774,,,
artifact,HWTE.SWPlatform.Duplo,GroupStateMachine,1.3,21618,,,
artifact,HWTE.SWPlatform,Matchbox,2.1.0,21623,,,
artifact,HWTE.EEIT.Atlas2Plugins,Atlas2FixturePlugin,0.0.7,35464,,,
artifact,HWTE.EEIT.IPADSMT,IPadDFUVendorLibMCT,1.0.2,35317,,,
artifact,HWTE.EEIT.IPADSMT,IPadDFUVendorLibSuncode,1.0.4,35321,,,
artifact,Frogger,macOS,10.13.4,3860,,,