TestPlan information Reading from logfile: TEST_PLAN V1_3,Cmd,Status,CMD_TIME (second),Used time (second),Hot time (second),Temperature (Â°C),Hot times
"iBoot Version: iBoot-7459.100.363.101.2
Rtos Version: PeRtosFactoryTests_H13G-1.0.20
Rbm Version: SiValFactoryTests_H13G-100040"
,ECID,001605302ED1001E
1,syscfg print MLB#,Diags,,0.077,,,
2,rtc --set 20211112085937,Diags,,0.093,,,
3,syscfg print MLB#,Diags,,0.017,,,
4,cbwrite 2 incomplete A_2.31.4.4-M_2.1.0-S_0.3 --hex,Diags,,0.031,,,
5,cbread 0x02,Diags,,0.016,,,
6,cbread 0x02,Diags,,0.015,,,
7,syscfg list,Diags,,0.27,,,
8,soc -p,Diags,,0.616,,,
9,soc -p list-perf-state,Diags,,0.528,,,
10,boardid,Diags,,0.016,,,
11,pmu --readadc all --avg 100,Diags,,6.093,,,
12,syscfg print CFG#,Diags,,4.122,,,
13,reset,Diags,,19.651,,,
14,echo >>>> TEST_PLAN V1_3 <<<<,Rtos,6.2e-05,0.139,,,
15,buildinfo,Rtos,0.000333,0.047,,,
16,fuse ecid,Rtos,0.000244,0.031,,,
17,fuse config,Rtos,0.349323,0.724,,,
18,fuse raw,Rtos,0.875892,1.257,,,
19,fuse config crc-info,Rtos,0.002436,0.031,,,
20,mmu ddr-protect fs3,Rtos,7.6e-05,0.016,,,
21,pmgr vmode bin,Rtos,0.001946,0.031,,,
22,pmgr offset -s 3 +6250,Rtos,7.6e-05,0.016,,,
23,pmgr offset -s 4 +3125,Rtos,9.4e-05,0.016,,,
24,pmgr offset -s 5 +6250,Rtos,7.5e-05,0.015,,,
25,pmgr mode 0x2202233,Rtos,0.00051,0.031,,,
26,pmu rails,Rtos,0.005933,0.237,,,
27,pmgr ane on,Rtos,0.000218,0.016,,,
28,pmgr power-up isp,Rtos,2e-05,0.015,,,
29,core up acc,Rtos,0.006082,0.047,,,
30,ts init mtr,Rtos,0.058892,0.078,,,
31,ts rd,Rtos,0.003475,0.188,,,
32,pmgr mode 0x1100204,Rtos,0.001239,0.032,,,
33,sc run 53 10,Rtos,1.443911,1.472,,,
34,pmgr mode 0x2202234,Rtos,0.000361,0.047,,,
35,os jitter 10,Rtos,0.000326,0.015,,,
36,ts reset auto,Rtos,0.000155,0.032,,,
37,therm toohot 105 10 105 10 7 1,Rtos,0.000539,0.031,,,
38,therm sochot 125,Rtos,0.067233,0.187,,,
39,telem config mss,Rtos,1.4e-05,0.016,,,
40,telem test config 10 125 250,Rtos,1.4e-05,0.016,,,
41,telem test enable,Rtos,0.000137,0.016,,,
42,acc dpeppt on,Rtos,0.001258,0.015,,,
43,ut all on,Rtos,2e-05,0.015,,,
44,oclamon adc config -e -p -c 7 -m -peak_min,Rtos,0.000679,0.063,,,
45,oclamon adc on,Rtos,1.4e-05,0.016,,,
46,oclamon teldvfm on,Rtos,1.4e-05,0.015,,,
47,oclamon scenario_tags on,Rtos,1.4e-05,0.016,,,
48,acc nrg on,Rtos,1.3e-05,0.016,,,
49,pmu rails,Rtos,0.006609,0.237,,,
50,pmgr mode 0x2202236,Rtos,0.000311,0.032,,,
51,ddr print info,Rtos,0.120966,0.501,,,
52,ddr print lotid,Rtos,0.016541,0.062,,,
53,sc run 54,Rtos,0.016211,0.142,,,
54,pmgr mode 0x2202234,Rtos,0.000342,0.032,,,
55,core test 0xff 50,Rtos,1.226567,1.248,,,
56,sc run 5 5,Rtos,0.003371,0.141,,,
57,echo >>>> ANE + BBQ Tests <<<<,Rtos,0.000106,0.032,,,
58,bbq config fg 625 0 4 150  0 0 E B,Rtos,0.000134,0.031,,,
59,bbq config 0xFF 500 150 5 100 24 6 E B,Rtos,0.003859,0.078,,,
60,bbq on,Rtos,1.3e-05,0.015,,,
61,echo >>>> 1P below 85C <<<<,Rtos,9.5e-05,0.016,,,
62,therm pid cc1 pcore init -skip=0_2_3_4_5_6_7_8_9_10_11_12_13_14,Rtos,0.000556,0.031,,,
63,therm pid cc1 pcore weights MAX 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0,Rtos,6.1e-05,0.032,,,
64,therm pid sp 75,Rtos,5.9e-05,0.015,,,
65,therm pid cc1 pcore enable,Rtos,0.000176,0.016,,,
66,pmgr mode 0xf502255,Rtos,0.000299,0.032,,,
67,sc run 6 5 -coredown 0x70,Rtos,2.517062,2.619,,,
68,sc run 7 5 -coredown 0x70,Rtos,15.709262,15.822,,,
69,sc run 13 10 -coredown 0x70,Rtos,0.243412,0.358,,,
70,sc run 19 5 -coredown 0x70,Rtos,0.047865,0.19,,,
71,sc run 499 5 -coredown 0x70,Rtos,2.518963,2.634,,,
72,sc run 6 5 -coredown 0xE0,Rtos,2.517289,2.632,,,
73,sc run 7 5 -coredown 0xE0,Rtos,14.752919,14.872,,,
74,sc run 13 10 -coredown 0xE0,Rtos,0.253333,0.375,,,
75,sc run 19 5 -coredown 0xE0,Rtos,0.048359,0.189,,,
76,sc run 499 5 -coredown 0xE0,Rtos,2.519176,2.637,,,
77,sc run 6 5 -coredown 0xB0,Rtos,2.517123,2.633,,,
78,sc run 7 5 -coredown 0xB0,Rtos,15.746667,15.856,,,
79,sc run 13 10 -coredown 0xB0,Rtos,0.246475,0.36,,,
80,sc run 19 5 -coredown 0xB0,Rtos,0.04794,0.19,,,
81,sc run 499 5 -coredown 0xB0,Rtos,2.518941,2.636,,,
82,sc run 6 5 -coredown 0xD0,Rtos,2.517084,2.633,,,
83,sc run 7 5 -coredown 0xD0,Rtos,15.668384,15.78,,,
84,sc run 13 10 -coredown 0xD0,Rtos,0.243692,0.36,,,
85,sc run 19 5 -coredown 0xD0,Rtos,0.048401,0.188,,,
86,sc run 499 5 -coredown 0xD0,Rtos,2.518923,2.637,,,
87,therm pid cc1 pcore disable,Rtos,0.000278,0.031,,,
88,echo >>>> 1P <<<<,Rtos,4.9e-05,0.016,,,
89,pmgr mode 0xe502255,Rtos,9.9e-05,0.031,,,
90,therm toohot 105 10 105 10 7 1,Rtos,0.000279,0.047,,,
91,sc run 6 5 -coredown 0x70,Rtos,2.517625,2.617,,,
92,sc run 7 5 -coredown 0x70,Rtos,16.033282,16.148,,,
93,sc run 13 10 -coredown 0x70,Rtos,0.240013,0.36,,,
94,sc run 19 5 -coredown 0x70,Rtos,0.048618,0.19,,,
95,sc run 499 5 -coredown 0x70,Rtos,2.519084,2.637,,,
96,sc run 6 5 -coredown 0xE0,Rtos,2.517237,2.633,,,
97,sc run 7 5 -coredown 0xE0,Rtos,15.078899,15.194,,,
98,sc run 13 10 -coredown 0xE0,Rtos,0.239622,0.359,,,
99,sc run 19 5 -coredown 0xE0,Rtos,0.048983,0.19,,,
100,sc run 499 5 -coredown 0xE0,Rtos,2.519384,2.635,,,
101,sc run 6 5 -coredown 0xB0,Rtos,2.517333,2.634,,,
102,sc run 7 5 -coredown 0xB0,Rtos,16.07487,16.194,,,
103,sc run 13 10 -coredown 0xB0,Rtos,0.246642,0.36,,,
104,sc run 19 5 -coredown 0xB0,Rtos,0.048658,0.175,,,
105,sc run 499 5 -coredown 0xB0,Rtos,2.519043,2.636,,,
106,sc run 6 5 -coredown 0xD0,Rtos,2.51863,2.633,,,
107,sc run 7 5 -coredown 0xD0,Rtos,16.002529,16.119,,,
108,sc run 13 10 -coredown 0xD0,Rtos,0.243076,0.359,,,
109,sc run 19 5 -coredown 0xD0,Rtos,0.049008,0.189,,,
110,sc run 499 5 -coredown 0xD0,Rtos,2.519102,2.635,,,
111,echo >>>> 2P <<<<,Rtos,5e-05,0.032,,,
112,pmgr mode 0xd502255,Rtos,9.8e-05,0.031,,,
113,sc run 6 5 -coredown 0x30,Rtos,2.517746,2.619,,,
114,sc run 7 5 -coredown 0x30,Rtos,8.327267,8.439,,,
115,sc run 13 10 -coredown 0x30,Rtos,0.234267,0.358,,,
116,sc run 19 5 -coredown 0x30,Rtos,0.049476,0.174,,,
117,sc run 499 5 -coredown 0x30,Rtos,2.525271,2.636,,,
118,sc run 6 5 -coredown 0xC0,Rtos,2.516869,2.636,,,
119,sc run 7 5 -coredown 0xC0,Rtos,8.193205,8.314,,,
120,sc run 13 10 -coredown 0xC0,Rtos,0.246086,0.359,,,
121,sc run 19 5 -coredown 0xC0,Rtos,0.049382,0.174,,,
122,sc run 499 5 -coredown 0xC0,Rtos,2.525034,2.637,,,
123,sc run 6 5 -coredown 0x90,Rtos,2.516986,2.638,,,
124,sc run 7 5 -coredown 0x90,Rtos,8.298325,8.419,,,
125,sc run 13 10 -coredown 0x90,Rtos,0.233582,0.358,,,
126,sc run 19 5 -coredown 0x90,Rtos,0.049545,0.175,,,
127,sc run 499 5 -coredown 0x90,Rtos,2.525401,2.635,,,
128,sc run 6 5 -coredown 0x60,Rtos,2.518134,2.637,,,
129,sc run 7 5 -coredown 0x60,Rtos,8.256998,8.378,,,
130,sc run 13 10 -coredown 0x60,Rtos,0.238584,0.359,,,
131,sc run 19 5 -coredown 0x60,Rtos,0.049121,0.176,,,
132,sc run 499 5 -coredown 0x60,Rtos,2.524743,2.638,,,
133,echo >>>> 4P 1P+ANE  1P+AMX <<<<,Rtos,6.1e-05,0.032,,,
134,pmgr mode 0xc502255,Rtos,9.9e-05,0.031,,,
135,sc run 6 5,Rtos,2.516858,2.624,,,
136,sc run 7 5,Rtos,4.432923,4.543,,,
137,sc run 13 10,Rtos,0.241006,0.358,,,
138,sc run 19 5,Rtos,0.047904,0.158,,,
139,sc run 27 5,Rtos,0.032755,0.156,,,
140,sc run 499 5,Rtos,2.531445,2.651,,,
141,sc run 172 5 -coredown 0xE0,Rtos,1.826742,1.928,,,
142,sc run 182 5 -coredown 0xE0,Rtos,2.025217,2.128,,,
143,sc run 172 5 -coredown 0xD0,Rtos,1.826505,1.928,,,
144,sc run 182 5 -coredown 0xD0,Rtos,2.029086,2.14,,,
145,sc run 172 5 -coredown 0xB0,Rtos,1.826786,1.93,,,
146,sc run 182 5 -coredown 0xB0,Rtos,2.028032,2.142,,,
147,sc run 172 5 -coredown 0x70,Rtos,1.826665,1.928,,,
148,sc run 182 5 -coredown 0x70,Rtos,2.026029,2.126,,,
149,echo >>>> 4P 3P+ANE  3P+AMX  2P+AMX+ANE <<<<,Rtos,6.7e-05,0.032,,,
150,pmgr mode 0xb502255,Rtos,0.000118,0.031,,,
151,sc run 6 5,Rtos,2.517102,2.621,,,
152,sc run 7 5,Rtos,4.765868,4.882,,,
153,sc run 13 10,Rtos,0.237585,0.345,,,
154,sc run 19 5,Rtos,0.049636,0.157,,,
155,sc run 27 5,Rtos,0.032552,0.156,,,
156,sc run 499 5,Rtos,2.532322,2.651,,,
157,sc run 172 5 -coredown 0x10,Rtos,1.934497,2.037,,,
158,sc run 182 5 -coredown 0x10,Rtos,2.145782,2.252,,,
159,sc run 172 5 -coredown 0x20,Rtos,1.934508,2.037,,,
160,sc run 182 5 -coredown 0x20,Rtos,2.146547,2.267,,,
161,sc run 172 5 -coredown 0x40,Rtos,1.934394,2.052,,,
162,sc run 182 5 -coredown 0x40,Rtos,2.14343,2.252,,,
163,sc run 172 5 -coredown 0x80,Rtos,1.934418,2.037,,,
164,sc run 182 5 -coredown 0x80,Rtos,2.146122,2.252,,,
165,sc run 173 5 -coredown 0x30,Rtos,1.910551,2.022,,,
166,sc run 184 5 -coredown 0x30,Rtos,1.737454,1.851,,,
167,sc run 173 5 -coredown 0x60,Rtos,1.894641,2.005,,,
168,sc run 184 5 -coredown 0x60,Rtos,1.721283,1.834,,,
169,sc run 173 5 -coredown 0x90,Rtos,1.910486,2.023,,,
170,sc run 184 5 -coredown 0x90,Rtos,1.71809,1.834,,,
171,sc run 173 5 -coredown 0xC0,Rtos,1.895098,2.003,,,
172,sc run 184 5 -coredown 0xC0,Rtos,1.716165,1.822,,,
173,echo >>>> 4P 3P+ANE  4P+AMX  2P+AMX+ANE <<<<,Rtos,6.7e-05,0.032,,,
174,pmgr mode 0xa502255,Rtos,0.000115,0.031,,,
175,sc run 6 5,Rtos,2.517731,2.619,,,
176,sc run 7 5,Rtos,5.077732,5.19,,,
177,sc run 13 10,Rtos,0.243271,0.358,,,
178,sc run 19 5,Rtos,0.052234,0.158,,,
179,sc run 27 5,Rtos,0.032505,0.156,,,
180,sc run 499 5,Rtos,2.533127,2.651,,,
181,sc run 172 5 -coredown 0x10,Rtos,1.988718,2.098,,,
182,sc run 182 5 -coredown 0x10,Rtos,2.198679,2.313,,,
183,sc run 172 5 -coredown 0x20,Rtos,1.989557,2.097,,,
184,sc run 182 5 -coredown 0x20,Rtos,2.19572,2.297,,,
185,sc run 172 5 -coredown 0x40,Rtos,1.989214,2.099,,,
186,sc run 182 5 -coredown 0x40,Rtos,2.196066,2.299,,,
187,sc run 172 5 -coredown 0x80,Rtos,1.989007,2.097,,,
188,sc run 182 5 -coredown 0x80,Rtos,2.198426,2.314,,,
189,sc run 173 5 -coredown 0x30,Rtos,1.961586,2.066,,,
190,sc run 184 5 -coredown 0x30,Rtos,1.743545,1.853,,,
191,sc run 173 5 -coredown 0x60,Rtos,1.94458,2.05,,,
192,sc run 184 5 -coredown 0x60,Rtos,1.739346,1.852,,,
193,sc run 173 5 -coredown 0x90,Rtos,1.962042,2.067,,,
194,sc run 184 5 -coredown 0x90,Rtos,1.728316,1.834,,,
195,sc run 173 5 -coredown 0xC0,Rtos,1.943938,2.05,,,
196,sc run 184 5 -coredown 0xC0,Rtos,1.732382,1.836,,,
197,pmgr mode 0x9502255,Rtos,0.000115,0.047,,,
198,sc run 6 5,Rtos,2.519328,2.633,,,
199,sc run 7 5,Rtos,5.477688,5.592,,,
200,sc run 13 10,Rtos,0.267448,0.375,,,
201,sc run 19 5,Rtos,0.054448,0.172,,,
202,sc run 27 5,Rtos,0.032519,0.157,,,
203,sc run 172 5,Rtos,2.113035,2.22,,,
204,sc run 182 5,Rtos,2.307065,2.42,,,
205,sc run 499 5,Rtos,2.53489,2.652,,,
206,sc run 173 5 -coredown 0x10,Rtos,2.071092,2.176,,,
207,sc run 184 5 -coredown 0x10,Rtos,1.768981,1.883,,,
208,sc run 173 5 -coredown 0x20,Rtos,2.043732,2.144,,,
209,sc run 184 5 -coredown 0x20,Rtos,1.762733,1.866,,,
210,sc run 173 5 -coredown 0x40,Rtos,2.04349,2.158,,,
211,sc run 184 5 -coredown 0x40,Rtos,1.77161,1.881,,,
212,sc run 173 5 -coredown 0x80,Rtos,2.04357,2.158,,,
213,sc run 184 5 -coredown 0x80,Rtos,1.771165,1.882,,,
214,pmgr mode 0x8502255,Rtos,0.000115,0.031,,,
215,sc run 6 5,Rtos,2.519554,2.619,,,
216,sc run 7 5,Rtos,6.137097,6.255,,,
217,sc run 13 10,Rtos,0.295154,0.405,,,
218,sc run 19 5,Rtos,0.056964,0.173,,,
219,sc run 27 5,Rtos,0.035239,0.157,,,
220,sc run 172 5,Rtos,2.217751,2.327,,,
221,sc run 173 5,Rtos,2.175318,2.28,,,
222,sc run 182 5,Rtos,2.398047,2.497,,,
223,sc run 184 5,Rtos,1.827218,1.929,,,
224,sc run 499 5,Rtos,2.536938,2.649,,,
225,pmgr mode 0x7502255,Rtos,0.000114,0.031,,,
226,sc run 6 5,Rtos,2.520626,2.621,,,
227,sc run 7 5,Rtos,6.873072,6.992,,,
228,sc run 13 10,Rtos,0.340848,0.452,,,
229,sc run 19 5,Rtos,0.060234,0.172,,,
230,sc run 27 5,Rtos,0.038439,0.157,,,
231,sc run 172 5,Rtos,2.362106,2.466,,,
232,sc run 173 5,Rtos,2.314763,2.419,,,
233,sc run 182 5,Rtos,2.523494,2.635,,,
234,sc run 184 5,Rtos,1.882467,1.991,,,
235,sc run 499 5,Rtos,2.539679,2.649,,,
236,pmgr mode 0x6502245,Rtos,0.00017,0.047,,,
237,sc run 6 5,Rtos,2.524031,2.637,,,
238,sc run 7 5,Rtos,7.937199,8.055,,,
239,sc run 13 10,Rtos,0.373059,0.481,,,
240,sc run 19 5,Rtos,0.06534,0.173,,,
241,sc run 27 5,Rtos,0.044542,0.157,,,
242,sc run 172 5,Rtos,2.81214,2.911,,,
243,sc run 173 5,Rtos,2.751683,2.865,,,
244,sc run 182 5,Rtos,2.989951,3.098,,,
245,sc run 184 5,Rtos,2.275834,2.389,,,
246,sc run 499 5,Rtos,2.544434,2.667,,,
247,pmgr mode 0x5502245,Rtos,0.000119,0.032,,,
248,sc run 6 5,Rtos,2.525951,2.634,,,
249,sc run 7 5,Rtos,9.212371,9.33,,,
250,sc run 13 10,Rtos,0.436356,0.545,,,
251,sc run 19 5,Rtos,0.071838,0.189,,,
252,sc run 27 5,Rtos,0.050174,0.158,,,
253,sc run 172 5,Rtos,3.055095,3.159,,,
254,sc run 173 5,Rtos,2.977592,3.083,,,
255,sc run 182 5,Rtos,3.199387,3.312,,,
256,sc run 184 5,Rtos,2.389011,2.494,,,
257,sc run 499 5,Rtos,2.548591,2.666,,,
258,pmgr mode 0x4402245,Rtos,0.000155,0.032,,,
259,sc run 6 5,Rtos,2.529651,2.632,,,
260,sc run 7 5,Rtos,10.73803,10.855,,,
261,sc run 13 10,Rtos,0.515961,0.635,,,
262,sc run 19 5,Rtos,0.07546,0.188,,,
263,sc run 27 5,Rtos,0.057705,0.172,,,
264,sc run 172 5,Rtos,3.444526,3.544,,,
265,sc run 173 5,Rtos,3.358048,3.467,,,
266,sc run 182 5,Rtos,3.58216,3.684,,,
267,sc run 184 5,Rtos,2.650707,2.757,,,
268,sc run 499 5,Rtos,2.556036,2.665,,,
269,pmgr mode 0x3302234,Rtos,0.000281,0.032,,,
270,sc run 6 5,Rtos,2.536476,2.635,,,
271,sc run 7 5,Rtos,13.425862,13.536,,,
272,sc run 13 10,Rtos,0.646138,0.758,,,
273,sc run 19 5,Rtos,0.086455,0.204,,,
274,sc run 27 5,Rtos,0.072573,0.188,,,
275,sc run 172 5,Rtos,4.318645,4.422,,,
276,sc run 173 5,Rtos,4.23487,4.344,,,
277,sc run 182 5,Rtos,4.560581,4.684,,,
278,sc run 184 5,Rtos,3.444569,3.557,,,
279,sc run 499 5,Rtos,2.571098,2.678,,,
280,pmgr mode 0x2202234,Rtos,0.000208,0.032,,,
281,sc run 6 5,Rtos,2.54677,2.648,,,
282,sc run 7 5,Rtos,18.433579,18.547,,,
283,sc run 13 10,Rtos,0.903113,1.02,,,
284,sc run 19 5,Rtos,0.10242,0.218,,,
285,sc run 27 5,Rtos,0.096967,0.205,,,
286,sc run 100 5,Rtos,5.824064,5.927,,,
287,sc run 172 5,Rtos,5.137773,5.236,,,
288,sc run 173 5,Rtos,5.047326,5.16,,,
289,sc run 182 5,Rtos,5.50276,5.602,,,
290,sc run 184 5,Rtos,4.125474,4.235,,,
291,sc run 499 5,Rtos,2.589658,2.694,,,
292,pmgr mode 0x1102234,Rtos,0.000267,0.032,,,
293,sc run 6 5,Rtos,2.567738,2.679,,,
294,sc run 7 5,Rtos,26.966409,27.151,,,
295,sc run 13 10,Rtos,1.342596,1.449,,,
296,sc run 19 5,Rtos,0.131761,0.251,,,
297,sc run 27 5,Rtos,0.138297,0.249,,,
298,sc run 100 5,Rtos,8.128292,8.239,,,
299,sc run 172 5,Rtos,6.708359,6.82,,,
300,sc run 173 5,Rtos,6.609323,6.711,,,
301,sc run 182 5,Rtos,7.383599,7.482,,,
302,sc run 184 5,Rtos,5.558829,5.668,,,
303,sc run 499 5,Rtos,2.626096,2.741,,,
304,bbq off,Rtos,1.8e-05,0.031,,,
305,echo >>>> DRAM Tests <<<<,Rtos,0.000121,0.016,,,
306,pmgr mode 0xb502256,Rtos,0.000444,0.015,,,
307,ddr trefi soc,Rtos,6.9e-05,0.032,,,
308,ddr dcspg on,Rtos,8.4e-05,0.015,,,
309,mem cof 20,Rtos,0.000101,0.016,,,
310,switcher pattern ramp 2000000 -alt=10000 -jitter=1000 -clk:d=6_4_5_4_6_5 -cpu=2 -on,Rtos,0.000228,0.047,,,
311,mem vrb 2,Rtos,7e-05,0.016,,,
312,sc run 674,Rtos,114.063786,114.149,,,
313,sc run 760,Rtos,819.898026,820.017,,,
314,sc run 700,Rtos,1062.938973,1063.051,,,
315,switcher off -reset,Rtos,1.3e-05,0.031,,,
316,sc run 63,Rtos,38.457968,38.564,,,
317,sc run 58,Rtos,4.480124,4.589,,,
318,mem vrb 1,Rtos,7.1e-05,0.031,,,
319,mem cof 0,Rtos,0.000103,0.016,,,
320,ddr dcspg off,Rtos,0.000114,0.015,,,
321,sc run 62 5,Rtos,105.04581,105.132,,,
322,ddr margin test 0x363 15,Rtos,1.809551,1.91,,,
323,ddr vref test 0x363 4 4 4 4,Rtos,1.765867,1.851,,,
324,pmgr mode 0x6502245,Rtos,0.000255,0.032,,,
325,ddr vref test 0x363 4 4 4 4,Rtos,2.469093,2.558,,,
326,ddr dcspg on,Rtos,9.1e-05,0.016,,,
327,ut all status show,Rtos,0.000452,0.063,,,
328,pmgr mode 0xc502236,Rtos,0.000231,0.031,,,
329,xfer con,Rtos,,0.25,,,
330,pmgr mode 0xc502236,Rtos,0.000116,0.046,,,
331,core up acc,Rtos,0.001115,0.048,,,
332,acc dpeppt reconfig,Rtos,0.000967,0.031,,,
333,mmu ddr-protect fs3,Rtos,7.6e-05,0.016,,,
334,fs mount ddr,Rtos,2.897367,2.909,,,
335,echo >>>> ANE Tests <<<<,Rtos,6.3e-05,0.016,,,
336,bbq config fg 625 0 4 150  0 0 E B,Rtos,8.8e-05,0.032,,,
337,echo >>>> uRBM + ANE <<<<,Rtos,6.4e-05,0.015,,,
338,pmgr mode 0xc202256,Rtos,0.000241,0.032,,,
339,sc run 179 5 -coredown 0x70,Rtos,8.675148,8.772,,,
340,sc run 179 5 -coredown 0xE0,Rtos,8.675867,8.788,,,
341,sc run 179 5 -coredown 0xB0,Rtos,8.683464,8.789,,,
342,sc run 179 5 -coredown 0xD0,Rtos,8.675766,8.79,,,
343,pmgr mode 0xb202256,Rtos,0.000125,0.031,,,
344,sc run 179 5 -coredown 0x10,Rtos,9.021317,9.128,,,
345,sc run 179 5 -coredown 0x20,Rtos,9.012848,9.125,,,
346,sc run 179 5 -coredown 0x40,Rtos,9.038612,9.144,,,
347,sc run 179 5 -coredown 0x80,Rtos,9.032518,9.143,,,
348,sc run 179 5 -coredown 0xf0,Rtos,8.898337,9.006,,,
