TestPlan information Reading from logfile: TEST_PLAN V1_3,Cmd,Status,CMD_TIME (second),Used time (second),Hot time (second),Temperature (Â°C),Hot times
677,sc run 34 5,Rtos,5.031627,5.128,,,
678,sc run 38 5,Rtos,2.019202,2.142,,,
679,sc run 41 5,Rtos,5.059482,5.176,,,
680,sc run 400 5,Rtos,5.024162,5.143,,,
681,sc run 402 5,Rtos,5.084587,5.207,,,
682,sc run 409 5 -coredown 0x70,Rtos,5.109331,5.222,,,
683,sc run 409 5 -coredown 0xE0,Rtos,5.123756,5.239,,,
684,sc run 409 5 -coredown 0xB0,Rtos,5.048661,5.161,,,
685,sc run 409 5 -coredown 0xD0,Rtos,5.074461,5.193,,,
686,pmgr mode 0xb502256,Rtos,0.000101,0.031,,,
687,sc run 34 5,Rtos,5.037594,5.145,,,
688,sc run 38 5,Rtos,2.025261,2.142,,,
689,sc run 41 5,Rtos,5.044272,5.159,,,
690,sc run 400 5,Rtos,5.024406,5.145,,,
691,sc run 402 5,Rtos,5.104205,5.222,,,
692,sc run 39 5 -coredown 0x10,Rtos,5.055759,5.175,,,
693,sc run 39 5 -coredown 0x20,Rtos,5.063115,5.177,,,
694,sc run 39 5 -coredown 0x40,Rtos,5.076394,5.193,,,
695,sc run 39 5 -coredown 0x80,Rtos,5.061339,5.178,,,
696,pmgr mode 0xa502256,Rtos,0.0001,0.031,,,
697,sc run 34 5,Rtos,5.032184,5.129,,,
698,sc run 38 5,Rtos,2.025847,2.158,,,
699,sc run 39 5,Rtos,5.061112,5.177,,,
700,sc run 41 5,Rtos,5.047428,5.157,,,
701,sc run 400 5,Rtos,5.031061,5.144,,,
702,sc run 402 5,Rtos,5.078217,5.19,,,
703,pmgr mode 0x9502256,Rtos,0.000105,0.032,,,
704,sc run 34 5,Rtos,5.050912,5.158,,,
705,sc run 38 5,Rtos,2.029998,2.142,,,
706,sc run 39 5,Rtos,5.081249,5.189,,,
707,sc run 41 5,Rtos,5.058093,5.174,,,
708,sc run 400 5,Rtos,5.032753,5.144,,,
709,sc run 402 5,Rtos,5.093134,5.206,,,
710,pmgr mode 0x8502256,Rtos,0.000106,0.032,,,
711,sc run 34 5,Rtos,5.053318,5.159,,,
712,sc run 38 5,Rtos,2.026946,2.142,,,
713,sc run 39 5,Rtos,5.094489,5.205,,,
714,sc run 41 5,Rtos,5.063102,5.174,,,
715,sc run 400 5,Rtos,5.039252,5.144,,,
716,sc run 402 5,Rtos,5.110263,5.222,,,
717,pmgr mode 0x7502256,Rtos,0.000115,0.031,,,
718,sc run 34 5,Rtos,5.05683,5.16,,,
719,sc run 38 5,Rtos,2.033507,2.142,,,
720,sc run 39 5,Rtos,5.08112,5.19,,,
721,sc run 41 5,Rtos,5.067653,5.175,,,
722,sc run 400 5,Rtos,5.050168,5.16,,,
723,sc run 402 5,Rtos,5.097884,5.206,,,
724,pmgr mode 0x6502256,Rtos,0.000118,0.031,,,
725,sc run 34 5,Rtos,5.049481,5.16,,,
726,sc run 38 5,Rtos,2.032259,2.157,,,
727,sc run 39 5,Rtos,5.091823,5.208,,,
728,sc run 41 5,Rtos,5.07126,5.189,,,
729,sc run 400 5,Rtos,5.112466,5.22,,,
730,sc run 402 5,Rtos,5.133,5.238,,,
731,pmgr mode 0x5502246,Rtos,0.000199,0.047,,,
732,sc run 34 5,Rtos,5.052991,5.158,,,
733,sc run 38 5,Rtos,2.043457,2.158,,,
734,sc run 39 5,Rtos,5.146015,5.251,,,
735,sc run 41 5,Rtos,5.098255,5.205,,,
736,sc run 400 5,Rtos,5.133011,5.251,,,
737,sc run 402 5,Rtos,5.130052,5.238,,,
738,pmgr mode 0x4402246,Rtos,0.000173,0.031,,,
739,sc run 34 5,Rtos,5.075616,5.174,,,
740,sc run 38 5,Rtos,2.044898,2.157,,,
741,sc run 39 5,Rtos,5.155304,5.269,,,
742,sc run 41 5,Rtos,5.055601,5.175,,,
743,sc run 400 5,Rtos,5.091625,5.204,,,
744,sc run 402 5,Rtos,5.131472,5.237,,,
745,pmgr mode 0x3302235,Rtos,0.000339,0.032,,,
746,sc run 34 5,Rtos,5.075723,5.172,,,
747,sc run 38 5,Rtos,2.044781,2.158,,,
748,sc run 39 5,Rtos,5.194908,5.299,,,
749,sc run 41 5,Rtos,5.096253,5.219,,,
750,sc run 400 5,Rtos,5.17444,5.282,,,
751,sc run 402 5,Rtos,5.178935,5.283,,,
752,pmgr mode 0x2202235,Rtos,0.000213,0.047,,,
753,sc run 34 5,Rtos,5.102833,5.204,,,
754,sc run 38 5,Rtos,2.069621,2.188,,,
755,sc run 39 5,Rtos,5.241405,5.346,,,
756,sc run 41 5,Rtos,5.129241,5.233,,,
757,sc run 400 5,Rtos,5.211775,5.329,,,
758,sc run 402 5,Rtos,5.201184,5.312,,,
759,pmgr mode 0x1102235,Rtos,0.000253,0.031,,,
760,sc run 34 5,Rtos,5.072546,5.175,,,
761,sc run 38 5,Rtos,2.10205,2.219,,,
762,sc run 39 5,Rtos,5.271528,5.375,,,
763,sc run 41 5,Rtos,5.137995,5.267,,,
764,sc run 400 5,Rtos,5.183292,5.298,,,
765,sc run 402 5,Rtos,5.240235,5.358,,,
766,ans fw-init,Rtos,0.020526,0.047,,,
767,echo >>>> IP Tests <<<<,Rtos,0.000122,0.016,,,
768,pmgr mode 0x4402254,Rtos,0.000391,0.015,,,
769,sc run 20 5,Rtos,0.451682,0.541,,,
770,sc run 23 5,Rtos,4.626064,4.728,,,
771,sc run 24 5,Rtos,1.326482,1.433,,,
772,sc run 82 5,Rtos,23.873056,23.979,,,
773,sc run 83 5,Rtos,1.108474,1.206,,,
774,sc run 136 5,Rtos,0.430987,0.558,,,
775,sc run 137 5,Rtos,1.132757,1.249,,,
776,sc run 146 5,Rtos,2.964555,3.069,,,
777,sc run 151 5,Rtos,0.880194,0.987,,,
778,sc run 153 5,Rtos,3.029379,3.14,,,
779,pmgr mode 0x4402244,Rtos,0.000216,0.031,,,
780,sc run 20 5,Rtos,0.459354,0.558,,,
781,sc run 23 5,Rtos,4.836555,4.939,,,
782,sc run 24 5,Rtos,1.379359,1.48,,,
783,sc run 82 5,Rtos,26.905752,27.01,,,
784,sc run 83 5,Rtos,1.131341,1.233,,,
785,sc run 136 5,Rtos,0.432206,0.543,,,
786,sc run 137 5,Rtos,1.35201,1.449,,,
787,sc run 146 5,Rtos,3.483482,3.605,,,
788,sc run 153 5,Rtos,3.605445,3.712,,,
789,pmgr mode 0x4402234,Rtos,0.000166,0.032,,,
790,sc run 20 5,Rtos,0.461256,0.557,,,
791,sc run 23 5,Rtos,5.283852,5.388,,,
792,sc run 24 5,Rtos,1.458386,1.556,,,
793,sc run 82 5,Rtos,28.745401,28.85,,,
794,sc run 83 5,Rtos,1.152423,1.251,,,
795,sc run 136 5,Rtos,0.434903,0.542,,,
796,sc run 137 5,Rtos,1.443303,1.542,,,
797,sc run 146 5,Rtos,4.347437,4.45,,,
798,sc run 153 5,Rtos,4.102116,4.202,,,
799,ans free-heap,Rtos,0.00292,0.031,,,
800,ut all status show,Rtos,0.000679,0.063,,,
801,pmgr mode 0x1102234,Rtos,0.000354,16.062,,,
802,pmgr reset,Rtos,3.9e-05,0.015,,,
803,pmu: flt (sera) 00:08:00:00,Rtos,,2.376,,,
804,ðŸ“Œ Reboot,Reboot,,14.999,,,
805,phigh-state . cr,Rbm,,0.201,,,
806,ehigh-state . cr,Rbm,,0.015,,,
807,.temps,Rbm,,0.032,,,
808,calc-pdvfms,Rbm,,0.094,,,
809,calc-edvfms,Rbm,,0.094,,,
810,true to dumppa2ddr?,Rbm,,0.015,,,
811,show dvfm,Rbm,,2.859,,,
812,show socperfstate,Rbm,,1.036,,,
813,show dcsperfstate,Rbm,,0.235,,,
814,show pmu,Rbm,,0.156,,,
815,rbm-nom -tout 300,Rbm,,308.073,296,62.62,0
816,.templog,Rbm,,1.697,,,
817,.rfl,Rbm,,0.125,,,
818,.sns-maxtemp,Rbm,,0.046,,,
819,.tel,Rbm,,0.709,,,
820,.rbmlog,Rbm,,2.12,,,
821,.apsc_log,Rbm,,0.093,,,
822,.mtq,Rbm,,2.055,,,
823,.rbm_s,Rbm,,1.289,,,
824,reset,Rbm,,0.016,,,
825,pmu: flt (sera) 00:08:00:00,Rbm,,2.376,,,
826,ðŸ“Œ Reboot,Reboot,,15.0,,,
827,phigh-state . cr,Rbm,,0.077,,,
828,ehigh-state . cr,Rbm,,0.015,,,
829,.temps,Rbm,,0.032,,,
830,calc-pdvfms,Rbm,,0.094,,,
831,calc-edvfms,Rbm,,0.094,,,
832,true to dumppa2ddr?,Rbm,,0.016,,,
833,show dvfm,Rbm,,2.865,,,
834,show socperfstate,Rbm,,1.048,,,
835,show dcsperfstate,Rbm,,0.25,,,
836,show pmu,Rbm,,0.158,,,
837,rbm-bbq -tout 300,Rbm,,300.445,298,105.4,28525
838,"cpu 0 cfe echo ""RBM: Are you hang?""",Rbm     Fail (Hang),,58.933,,,
839,ðŸ“Œ Reboot,Reboot,,25.243,,,
840,phigh-state . cr,Rbm,,0.077,,,
841,ehigh-state . cr,Rbm,,0.016,,,
842,.temps,Rbm,,0.031,,,
843,calc-pdvfms,Rbm,,0.093,,,
844,calc-edvfms,Rbm,,0.094,,,
845,true to dumppa2ddr?,Rbm,,0.016,,,
846,show dvfm,Rbm,,2.854,,,
847,show socperfstate,Rbm,,1.034,,,
848,show dcsperfstate,Rbm,,0.252,,,
849,show pmu,Rbm,,0.156,,,
850,rbm-pv1-pcore -tout 300,Rbm,,303.837,297,105.26,15918
851,.templog,Rbm,,1.759,,,
852,.rfl,Rbm,,0.124,,,
853,.sns-maxtemp,Rbm,,0.048,,,
854,.tel,Rbm,,0.707,,,
855,.rbmlog,Rbm,,2.164,,,
856,.apsc_log,Rbm,,0.83,,,
857,.mtq,Rbm,,0.157,,,
858,.rbm_s,Rbm,,1.133,,,
859,reset,Rbm,,0.015,,,
860,pmu: flt (sera) 0f:08:00:00,Rbm,,2.371,,,
861,ðŸ“Œ Reboot,Reboot,,14.987,,,
862,phigh-state . cr,Rbm,,0.078,,,
863,ehigh-state . cr,Rbm,,0.016,,,
864,.temps,Rbm,,0.032,,,
865,calc-pdvfms,Rbm,,0.094,,,
866,calc-edvfms,Rbm,,0.094,,,
867,true to dumppa2ddr?,Rbm,,0.016,,,
868,show dvfm,Rbm,,2.855,,,
869,show socperfstate,Rbm,,1.017,,,
870,show dcsperfstate,Rbm,,0.251,,,
871,show pmu,Rbm,,0.156,,,
872,rbm-pgt-test -tout 300,Rbm,,309.271,296,81.54,49
873,.templog,Rbm,,1.694,,,
874,.rfl,Rbm,,0.125,,,
875,.sns-maxtemp,Rbm,,0.047,,,
876,.tel,Rbm,,0.706,,,
877,.rbmlog,Rbm,,2.118,,,
878,.apsc_log,Rbm,,0.831,,,
879,.mtq,Rbm,,2.618,,,
880,.rbm_s,Rbm,,1.242,,,
881,reset,Rbm,,0.015,,,
882,pmu: flt (sera) 0f:08:00:00,Rbm,,2.371,,,
883,ðŸ“Œ Reboot,Reboot,,14.999,,,
884,phigh-state . cr,Rbm,,0.093,,,
885,ehigh-state . cr,Rbm,,0.015,,,
886,.temps,Rbm,,0.033,,,
887,calc-pdvfms,Rbm,,0.094,,,
888,calc-edvfms,Rbm,,0.094,,,
889,true to dumppa2ddr?,Rbm,,0.016,,,
890,show dvfm,Rbm,,2.855,,,
891,show socperfstate,Rbm,,1.033,,,
892,show dcsperfstate,Rbm,,0.235,,,
893,show pmu,Rbm,,0.156,,,
894,rbm-dvfm-soc-dcs -tout 300,Rbm,,308.398,295,81.25,0
895,.templog,Rbm,,1.701,,,
896,.rfl,Rbm,,0.124,,,
897,.sns-maxtemp,Rbm,,0.046,,,
898,.tel,Rbm,,0.707,,,
899,.rbmlog,Rbm,,2.134,,,
900,.apsc_log,Rbm,,0.83,,,
901,.mtq,Rbm,,1.432,,,
902,.rbm_s,Rbm,,1.211,,,
903,reset,Rbm,,0.015,,,
904,pmu: flt (sera) 0f:08:00:00,Rbm,,2.386,,,
905,ðŸ“Œ Reboot,Reboot,,15.001,,,
906,phigh-state . cr,Rbm,,0.093,,,
907,ehigh-state . cr,Rbm,,0.016,,,
908,.temps,Rbm,,0.032,,,
909,calc-pdvfms,Rbm,,0.094,,,
910,calc-edvfms,Rbm,,0.094,,,
911,true to dumppa2ddr?,Rbm,,0.016,,,
912,show dvfm,Rbm,,2.855,,,
913,show socperfstate,Rbm,,1.018,,,
914,show dcsperfstate,Rbm,,0.266,,,
915,show pmu,Rbm,,0.157,,,
916,rbm-nom-uc -tout 300,Rbm,,313.513,296,93.33,1
917,.templog,Rbm,,1.677,,,
918,.rfl,Rbm,,0.141,,,
919,.sns-maxtemp,Rbm,,0.047,,,
920,.tel,Rbm,,0.706,,,
921,.rbmlog,Rbm,,2.104,,,
922,.apsc_log,Rbm,,0.062,,,
923,.mtq,Rbm,,3.999,,,
924,.rbm_s,Rbm,,1.304,,,
925,reset,Rbm,,0.015,,,
926,pmu: flt (sera) 0f:08:00:00,Rbm,,2.37,,,
927,ðŸ“Œ Reboot,Reboot,,14.986,,,
928,phigh-state . cr,Rbm,,0.094,,,
929,ehigh-state . cr,Rbm,,0.015,,,
930,.temps,Rbm,,0.032,,,
931,calc-pdvfms,Rbm,,0.095,,,
932,calc-edvfms,Rbm,,0.094,,,
933,true to dumppa2ddr?,Rbm,,0.015,,,
934,show dvfm,Rbm,,2.855,,,
935,show socperfstate,Rbm,,1.033,,,
936,show dcsperfstate,Rbm,,0.235,,,
937,show pmu,Rbm,,0.158,,,
938,rbm-amx -tout 300,Rbm,,300.713,298,92.59,4444
939,.templog,Rbm,,1.786,,,
940,.rfl,Rbm,,0.125,,,
941,.sns-maxtemp,Rbm,,0.047,,,
942,.tel,Rbm,,0.705,,,
943,.rbmlog,Rbm,,2.227,,,
944,.apsc_log,Rbm,,0.83,,,
945,.mtq,Rbm,,0.156,,,
946,.rbm_s,Rbm,,1.133,,,
947,reset,Rbm,,0.015,,,
948,pmu: flt (sera) 0f:08:00:00,Rbm,,2.372,,,
949,ðŸ“Œ Reboot,Reboot,,15.001,,,
950,phigh-state . cr,Rbm,,0.092,,,
951,ehigh-state . cr,Rbm,,0.016,,,
952,.temps,Rbm,,0.031,,,
953,calc-pdvfms,Rbm,,0.094,,,
954,calc-edvfms,Rbm,,0.094,,,
955,true to dumppa2ddr?,Rbm,,0.016,,,
956,show dvfm,Rbm,,2.853,,,
957,show socperfstate,Rbm,,1.048,,,
958,show dcsperfstate,Rbm,,0.251,,,
959,show pmu,Rbm,,0.142,,,
960,rbm-amx-pv1 -tout 300,Rbm,,300.636,295,109.37,31834
961,.templog,Rbm,,1.727,,,
962,.rfl,Rbm,,0.124,,,
963,.sns-maxtemp,Rbm,,0.047,,,
964,.tel,Rbm,,0.706,,,
965,.rbmlog,Rbm,,2.134,,,
966,.apsc_log,Rbm,,0.83,,,
967,.mtq,Rbm,,0.142,,,
968,.rbm_s,Rbm,,1.148,,,
969,reset,Rbm,,0.015,,,
970,pmu: flt (sera) 0f:08:00:00,Rbm,,2.37,,,
971,ðŸ“Œ Reboot,Reboot,,15.002,,,
972,phigh-state . cr,Rbm,,0.093,,,
973,ehigh-state . cr,Rbm,,0.015,,,
974,.temps,Rbm,,0.032,,,
975,calc-pdvfms,Rbm,,0.094,,,
976,calc-edvfms,Rbm,,0.095,,,
977,true to dumppa2ddr?,Rbm,,0.016,,,
978,show dvfm,Rbm,,2.855,,,
979,show socperfstate,Rbm,,1.033,,,
980,show dcsperfstate,Rbm,,0.235,,,
981,show pmu,Rbm,,0.156,,,
982,rbm-phigh -tout 300,Rbm,,300.752,297,91.46,5500
983,.templog,Rbm,,1.693,,,
984,.rfl,Rbm,,0.125,,,
985,.sns-maxtemp,Rbm,,0.047,,,
986,.tel,Rbm,,0.707,,,
987,.rbmlog,Rbm,,2.133,,,
988,.apsc_log,Rbm,,0.83,,,
989,.mtq,Rbm,,0.923,,,
990,.rbm_s,Rbm,,1.209,,,
991,reset,Rbm,,0.016,,,
992,pmu: flt (sera) 0f:08:00:00,Rbm,,2.386,,,
993,ðŸ“Œ Reboot,Reboot,,14.987,,,
994,phigh-state . cr,Rbm,,0.108,,,
995,ehigh-state . cr,Rbm,,0.015,,,
996,.temps,Rbm,,0.033,,,
997,calc-pdvfms,Rbm,,0.093,,,
998,calc-edvfms,Rbm,,0.094,,,
999,true to dumppa2ddr?,Rbm,,0.015,,,
1000,show dvfm,Rbm,,2.858,,,
1001,show socperfstate,Rbm,,1.034,,,
1002,show dcsperfstate,Rbm,,0.235,,,
1003,show pmu,Rbm,,0.157,,,
1004,rbm-phigh-ane -tout 300,Rbm,,303.798,294,93.1,2102
1005,.templog,Rbm,,1.677,,,
1006,.rfl,Rbm,,0.125,,,
1007,.sns-maxtemp,Rbm,,0.047,,,
1008,.tel,Rbm,,0.706,,,
1009,.rbmlog,Rbm,,2.116,,,
1010,.apsc_log,Rbm,,0.832,,,
1011,.mtq,Rbm,,1.206,,,
1012,.rbm_s,Rbm,,1.18,,,
1013,reset,Rbm,,0.015,,,
1014,pmu: flt (sera) 0f:08:00:00,Rbm,,2.372,,,
1015,ðŸ“Œ Reboot,Reboot,,14.986,,,
1016,phigh-state . cr,Rbm,,0.093,,,
1017,ehigh-state . cr,Rbm,,0.016,,,
1018,.temps,Rbm,,0.031,,,
1019,calc-pdvfms,Rbm,,0.095,,,
1020,calc-edvfms,Rbm,,0.094,,,
1021,true to dumppa2ddr?,Rbm,,0.016,,,
1022,show dvfm,Rbm,,2.854,,,
1023,show socperfstate,Rbm,,1.033,,,
1024,show dcsperfstate,Rbm,,0.25,,,
1025,show pmu,Rbm,,0.158,,,
1026,rbm-phigh-all -tout 300,Rbm,,303.923,294,93.29,2761
1027,.templog,Rbm,,1.677,,,
1028,.rfl,Rbm,,0.125,,,
1029,.sns-maxtemp,Rbm,,0.047,,,
1030,.tel,Rbm,,0.705,,,
1031,.rbmlog,Rbm,,2.116,,,
1032,.apsc_log,Rbm,,0.832,,,
1033,.mtq,Rbm,,1.303,,,
1034,.rbm_s,Rbm,,1.291,,,
1035,reset,Rbm,,0.015,,,
1036,pmu: flt (sera) 0f:08:00:00,Rbm,,2.371,,,
1037,ðŸ“Œ Reboot,Reboot,,15.0,,,
1038,phigh-state . cr,Rbm,,0.094,,,
1039,ehigh-state . cr,Rbm,,0.016,,,
1040,.temps,Rbm,,0.031,,,
1041,calc-pdvfms,Rbm,,0.094,,,
1042,calc-edvfms,Rbm,,0.094,,,
1043,true to dumppa2ddr?,Rbm,,0.015,,,
1044,show dvfm,Rbm,,2.854,,,
1045,show socperfstate,Rbm,,1.048,,,
1046,show dcsperfstate,Rbm,,0.251,,,
1047,show pmu,Rbm,,0.157,,,
1048,rbm-row-hammer-test -tout 300,Rbm,,302.298,299,64.63,0
1049,.templog,Rbm,,1.586,,,
1050,.rfl,Rbm,,0.124,,,
1051,.sns-maxtemp,Rbm,,0.047,,,
1052,.tel,Rbm,,0.707,,,
1053,.rbmlog,Rbm,,2.006,,,
1054,.apsc_log,Rbm,,0.062,,,
1055,.mtq,Rbm,,0.11,,,
1056,.rbm_s,Rbm,,1.306,,,
1057,reset,Rbm,,0.016,,,
1058,pmu: flt (sera) 0f:08:00:00,Rbm,,2.372,,,
1059,ðŸ“Œ Reboot,Reboot,,15.006,,,
1060,phigh-state . cr,Rbm,,0.078,,,
1061,ehigh-state . cr,Rbm,,0.031,,,
1062,.temps,Rbm,,0.033,,,
1063,calc-pdvfms,Rbm,,0.094,,,
1064,calc-edvfms,Rbm,,0.095,,,
1065,true to dumppa2ddr?,Rbm,,0.031,,,
1066,show dvfm,Rbm,,2.854,,,
1067,show socperfstate,Rbm,,1.033,,,
1068,show dcsperfstate,Rbm,,0.25,,,
1069,show pmu,Rbm,,0.157,,,
1070,rbm-sram-virus -tout 300,Rbm,,303.344,297,84.13,0
1071,.templog,Rbm,,1.741,,,
1072,.rfl,Rbm,,0.126,,,
1073,.sns-maxtemp,Rbm,,0.046,,,
1074,.tel,Rbm,,0.706,,,
1075,.rbmlog,Rbm,,2.18,,,
1076,.apsc_log,Rbm,,0.062,,,
1077,.mtq,Rbm,,0.109,,,
1078,.rbm_s,Rbm,,1.165,,,
1079,reset,Rbm,,0.015,,,
1080,pmu: flt (sera) 0f:08:00:00,Rbm,,2.371,,,
1081,ðŸ“Œ Reboot,Reboot,,15.002,,,
1082,phigh-state . cr,Rbm,,0.093,,,
1083,ehigh-state . cr,Rbm,,0.016,,,
1084,.temps,Rbm,,0.031,,,
1085,calc-pdvfms,Rbm,,0.096,,,
1086,calc-edvfms,Rbm,,0.094,,,
1087,true to dumppa2ddr?,Rbm,,0.015,,,
1088,show dvfm,Rbm,,2.856,,,
1089,show socperfstate,Rbm,,1.033,,,
1090,show dcsperfstate,Rbm,,0.251,,,
1091,show pmu,Rbm,,0.157,,,
1092,rbm-plvcc -tout 300,Rbm,,301.256,296,103.6,4862
1093,.templog,Rbm,,1.691,,,
1094,.rfl,Rbm,,0.141,,,
1095,.sns-maxtemp,Rbm,,0.047,,,
1096,.tel,Rbm,,0.707,,,
1097,.rbmlog,Rbm,,2.148,,,
1098,.apsc_log,Rbm,,0.831,,,
1099,.mtq,Rbm,,0.157,,,
1100,.rbm_s,Rbm,,1.179,,,
1101,reset,Rbm,,0.015,,,
1102,pmu: flt (sera) 0f:08:00:00,Rbm,,2.371,,,
1103,ðŸ“Œ Reboot,Reboot,,14.985,,,
1104,phigh-state . cr,Rbm,,0.093,,,
1105,ehigh-state . cr,Rbm,,0.016,,,
1106,.temps,Rbm,,0.031,,,
1107,calc-pdvfms,Rbm,,0.095,,,
1108,calc-edvfms,Rbm,,0.094,,,
1109,true to dumppa2ddr?,Rbm,,0.016,,,
1110,show dvfm,Rbm,,2.854,,,
1111,show socperfstate,Rbm,,1.046,,,
1112,show dcsperfstate,Rbm,,0.251,,,
1113,show pmu,Rbm,,0.156,,,
1114,rbm-dvfm-soc-dcs-pgt -tout 300,Rbm,,311.658,294,91.57,1
1115,.templog,Rbm,,1.68,,,
1116,.rfl,Rbm,,0.125,,,
1117,.sns-maxtemp,Rbm,,0.047,,,
1118,.tel,Rbm,,0.706,,,
1119,.rbmlog,Rbm,,2.118,,,
1120,.apsc_log,Rbm,,0.831,,,
1121,.mtq,Rbm,,2.478,,,
1122,.rbm_s,Rbm,,1.241,,,
1123,reset,Rbm,,0.016,,,
1124,pmu: flt (sera) 0f:08:00:00,Rbm,,2.371,,,
1125,ðŸ“Œ Reboot,Reboot,,15.001,,,
1126,phigh-state . cr,Rbm,,0.093,,,
1127,ehigh-state . cr,Rbm,,0.016,,,
1128,.temps,Rbm,,0.031,,,
1129,calc-pdvfms,Rbm,,0.094,,,
1130,calc-edvfms,Rbm,,0.094,,,
1131,true to dumppa2ddr?,Rbm,,0.016,,,
1132,show dvfm,Rbm,,2.853,,,
1133,show socperfstate,Rbm,,1.017,,,
1134,show dcsperfstate,Rbm,,0.251,,,
1135,show pmu,Rbm,,0.157,,,
1136,rbm-amx-pv1-pcore -tout 300,Rbm,,304.351,297,106.28,23392
1137,.templog,Rbm,,1.723,,,
1138,.rfl,Rbm,,0.125,,,
1139,.sns-maxtemp,Rbm,,0.048,,,
1140,.tel,Rbm,,0.705,,,
1141,.rbmlog,Rbm,,2.148,,,
1142,.apsc_log,Rbm,,0.83,,,
1143,.mtq,Rbm,,0.156,,,
1144,.rbm_s,Rbm,,5.027,,,
1145,reset,Rbm,,0.015,,,
1146,pmu: flt (sera) 0f:08:00:00,Rbm,,2.371,,,
1147,ðŸ“Œ Reboot,Reboot,,18.107,,,
1148,rtc --set 20211112120942,Diags,,0.031,,,
1149,syscfg print MLB#,Diags,,0.016,,,
1150,cbwrite 2 fail A_2.31.4.4-M_2.1.0-S_0.3-TP_B1_V1_3.f2 --hex,Diags,,0.031,,,
1151,cbread 0x02,Diags,,0.016,,,
1152,cbread 0x02,Diags,,0.016,,,
1153,syscfg list,Diags,,0.203,,,
1154,shutdown,Diags,,0.13,,,
